idForProcess	language	dependency	weight
6347087	Afrikaans_2.8	ccomp	0
6347087	Afrikaans_2.8	iobj	2
6347087	Afrikaans_2.8	xcomp	4
6347087	Afrikaans_2.8	cc	6
6347087	Afrikaans_2.8	nmod	8
6347087	Afrikaans_2.8	obl	10
6347087	Afrikaans_2.8	obj	12
6347087	Afrikaans_2.8	nsubj	14
6347087	Afrikaans_2.8	advmod	16
6347087	Afrikaans_2.8	fixed	18
6347087	Afrikaans_2.8	case	20
6347087	Afrikaans_2.8	det	22
6347087	Afrikaans_2.8	nummod	24
6347087	Afrikaans_2.8	appos	26
6347087	Afrikaans_2.8	mark	28
6347087	Afrikaans_2.8	HEAD	30
6347087	Afrikaans_2.8	csubj	32
6347087	Afrikaans_2.8	aux	34
6347087	Afrikaans_2.8	compound	36
6347087	Afrikaans_2.8	punct	38
6347087	Afrikaans_2.8	flat	40
6347087	Afrikaans_2.8	amod	42
6347087	Afrikaans_2.8	dep	44
6347087	Afrikaans_2.8	root	46
6347087	Afrikaans_2.8	conj	48
6347087	Afrikaans_2.8	cop	50
7400601	Afrikaans_2.8	ccomp	0
7400601	Afrikaans_2.8	conj	2
7400601	Afrikaans_2.8	root	4
7400601	Afrikaans_2.8	nmod	6
7400601	Afrikaans_2.8	advmod	8
7400601	Afrikaans_2.8	iobj	10
7400601	Afrikaans_2.8	obj	12
7400601	Afrikaans_2.8	xcomp	14
7400601	Afrikaans_2.8	nsubj	16
7400601	Afrikaans_2.8	cop	18
7400601	Afrikaans_2.8	punct	20
7400601	Afrikaans_2.8	csubj	22
7400601	Afrikaans_2.8	det	24
7400601	Afrikaans_2.8	nummod	26
7400601	Afrikaans_2.8	aux	28
7400601	Afrikaans_2.8	compound	30
7400601	Afrikaans_2.8	fixed	32
7400601	Afrikaans_2.8	HEAD	34
7400601	Afrikaans_2.8	flat	36
7400601	Afrikaans_2.8	amod	38
7400601	Afrikaans_2.8	cc	40
7400601	Afrikaans_2.8	dep	42
7400601	Afrikaans_2.8	appos	44
7400601	Afrikaans_2.8	mark	46
7400601	Afrikaans_2.8	case	48
7400601	Afrikaans_2.8	obl	50
7540579	Afrikaans_2.8	punct	0
7540579	Afrikaans_2.8	nsubj	2
7540579	Afrikaans_2.8	cop	4
7540579	Afrikaans_2.8	case	6
7540579	Afrikaans_2.8	det	8
7540579	Afrikaans_2.8	nummod	10
7540579	Afrikaans_2.8	appos	12
7540579	Afrikaans_2.8	aux	14
7540579	Afrikaans_2.8	csubj	16
7540579	Afrikaans_2.8	root	18
7540579	Afrikaans_2.8	fixed	20
7540579	Afrikaans_2.8	mark	22
7540579	Afrikaans_2.8	HEAD	24
