idForProcess	language	dependency	weight
174906	Afrikaans_2.8	ccomp	0
174906	Afrikaans_2.8	advmod	2
174906	Afrikaans_2.8	xcomp	4
174906	Afrikaans_2.8	cc	6
174906	Afrikaans_2.8	punct	8
174906	Afrikaans_2.8	dep	10
174906	Afrikaans_2.8	conj	12
174906	Afrikaans_2.8	amod	14
174906	Afrikaans_2.8	nmod	16
174906	Afrikaans_2.8	obl	18
174906	Afrikaans_2.8	csubj	20
174906	Afrikaans_2.8	iobj	22
174906	Afrikaans_2.8	obj	24
174906	Afrikaans_2.8	compound	26
174906	Afrikaans_2.8	nummod	28
174906	Afrikaans_2.8	HEAD	30
174906	Afrikaans_2.8	appos	32
174906	Afrikaans_2.8	mark	34
174906	Afrikaans_2.8	det	36
174906	Afrikaans_2.8	fixed	38
174906	Afrikaans_2.8	case	40
174906	Afrikaans_2.8	aux	42
174906	Afrikaans_2.8	cop	44
174906	Afrikaans_2.8	root	46
174906	Afrikaans_2.8	flat	48
174906	Afrikaans_2.8	nsubj	50
3860693	Afrikaans_2.8	punct	0
3860693	Afrikaans_2.8	fixed	2
3860693	Afrikaans_2.8	nsubj	4
3860693	Afrikaans_2.8	aux	6
3860693	Afrikaans_2.8	cop	8
3860693	Afrikaans_2.8	case	10
3860693	Afrikaans_2.8	appos	12
3860693	Afrikaans_2.8	mark	14
3860693	Afrikaans_2.8	root	16
3860693	Afrikaans_2.8	cc	18
3860693	Afrikaans_2.8	HEAD	20
3860693	Afrikaans_2.8	compound	22
3860693	Afrikaans_2.8	nummod	24
3860693	Afrikaans_2.8	amod	26
3860693	Afrikaans_2.8	flat	28
3860693	Afrikaans_2.8	advmod	30
3860693	Afrikaans_2.8	obj	32
3860693	Afrikaans_2.8	csubj	34
3860693	Afrikaans_2.8	det	36
3860693	Afrikaans_2.8	nmod	38
3860693	Afrikaans_2.8	obl	40
3860693	Afrikaans_2.8	dep	42
3860693	Afrikaans_2.8	iobj	44
3860693	Afrikaans_2.8	ccomp	46
3860693	Afrikaans_2.8	xcomp	48
3860693	Afrikaans_2.8	conj	50
779623	Afrikaans_2.8	conj	0
779623	Afrikaans_2.8	ccomp	2
779623	Afrikaans_2.8	xcomp	4
779623	Afrikaans_2.8	iobj	6
779623	Afrikaans_2.8	dep	8
779623	Afrikaans_2.8	obl	10
779623	Afrikaans_2.8	obj	12
779623	Afrikaans_2.8	csubj	14
779623	Afrikaans_2.8	root	16
779623	Afrikaans_2.8	nmod	18
779623	Afrikaans_2.8	advmod	20
779623	Afrikaans_2.8	case	22
779623	Afrikaans_2.8	punct	24
779623	Afrikaans_2.8	det	26
779623	Afrikaans_2.8	appos	28
779623	Afrikaans_2.8	nummod	30
779623	Afrikaans_2.8	mark	32
779623	Afrikaans_2.8	HEAD	34
779623	Afrikaans_2.8	aux	36
779623	Afrikaans_2.8	compound	38
779623	Afrikaans_2.8	cc	40
779623	Afrikaans_2.8	cop	42
779623	Afrikaans_2.8	nsubj	44
779623	Afrikaans_2.8	amod	46
779623	Afrikaans_2.8	fixed	48
779623	Afrikaans_2.8	flat	50
6182729	Afrikaans_2.8	nsubj	0
6182729	Afrikaans_2.8	aux	2
6182729	Afrikaans_2.8	cop	4
6182729	Afrikaans_2.8	case	6
6182729	Afrikaans_2.8	appos	8
6182729	Afrikaans_2.8	mark	10
6182729	Afrikaans_2.8	fixed	12
6182729	Afrikaans_2.8	cc	14
6182729	Afrikaans_2.8	HEAD	16
6182729	Afrikaans_2.8	nummod	18
6182729	Afrikaans_2.8	punct	20
6182729	Afrikaans_2.8	compound	22
6182729	Afrikaans_2.8	amod	24
6182729	Afrikaans_2.8	flat	26
6182729	Afrikaans_2.8	advmod	28
6182729	Afrikaans_2.8	det	30
6182729	Afrikaans_2.8	nmod	32
6182729	Afrikaans_2.8	csubj	34
6182729	Afrikaans_2.8	obj	36
6182729	Afrikaans_2.8	obl	38
6182729	Afrikaans_2.8	dep	40
6182729	Afrikaans_2.8	root	42
6182729	Afrikaans_2.8	iobj	44
6182729	Afrikaans_2.8	ccomp	46
6182729	Afrikaans_2.8	xcomp	48
6182729	Afrikaans_2.8	conj	50
8617197	Afrikaans_2.8	nsubj	0
8617197	Afrikaans_2.8	root	2
8617197	Afrikaans_2.8	aux	4
8617197	Afrikaans_2.8	cop	6
8617197	Afrikaans_2.8	case	8
8617197	Afrikaans_2.8	punct	10
8617197	Afrikaans_2.8	fixed	12
8617197	Afrikaans_2.8	mark	14
8617197	Afrikaans_2.8	appos	16
8617197	Afrikaans_2.8	cc	18
8617197	Afrikaans_2.8	HEAD	20
8617197	Afrikaans_2.8	nummod	22
8617197	Afrikaans_2.8	compound	24
8617197	Afrikaans_2.8	amod	26
8617197	Afrikaans_2.8	advmod	28
8617197	Afrikaans_2.8	flat	30
8617197	Afrikaans_2.8	det	32
8617197	Afrikaans_2.8	csubj	34
8617197	Afrikaans_2.8	nmod	36
8617197	Afrikaans_2.8	obj	38
8617197	Afrikaans_2.8	obl	40
8617197	Afrikaans_2.8	dep	42
8617197	Afrikaans_2.8	iobj	44
8617197	Afrikaans_2.8	ccomp	46
8617197	Afrikaans_2.8	xcomp	48
8617197	Afrikaans_2.8	conj	50
4504907	Afrikaans_2.8	punct	0
4504907	Afrikaans_2.8	csubj	2
4504907	Afrikaans_2.8	advmod	4
4504907	Afrikaans_2.8	cop	6
4504907	Afrikaans_2.8	cc	8
4504907	Afrikaans_2.8	amod	10
4504907	Afrikaans_2.8	fixed	12
4504907	Afrikaans_2.8	aux	14
4504907	Afrikaans_2.8	compound	16
4504907	Afrikaans_2.8	HEAD	18
4504907	Afrikaans_2.8	nummod	20
4504907	Afrikaans_2.8	appos	22
4504907	Afrikaans_2.8	det	24
4504907	Afrikaans_2.8	mark	26
4504907	Afrikaans_2.8	case	28
4504907	Afrikaans_2.8	root	30
4504907	Afrikaans_2.8	flat	32
4504907	Afrikaans_2.8	nsubj	34
4504907	Afrikaans_2.8	nmod	36
4504907	Afrikaans_2.8	obj	38
4504907	Afrikaans_2.8	obl	40
4504907	Afrikaans_2.8	xcomp	42
4504907	Afrikaans_2.8	dep	44
4504907	Afrikaans_2.8	iobj	46
4504907	Afrikaans_2.8	ccomp	48
4504907	Afrikaans_2.8	conj	50
8345663	Akkadian_2.8	fixed	0
8345663	Akkadian_2.8	flat	2
8345663	Akkadian_2.8	case	4
8345663	Akkadian_2.8	obl	6
8345663	Akkadian_2.8	iobj	8
8345663	Akkadian_2.8	vocative	10
8345663	Akkadian_2.8	advmod	12
8345663	Akkadian_2.8	discourse	14
8345663	Akkadian_2.8	cop	16
8345663	Akkadian_2.8	HEAD	18
8345663	Akkadian_2.8	xcomp	20
8345663	Akkadian_2.8	dep	22
8345663	Akkadian_2.8	obj	24
8345663	Akkadian_2.8	compound	26
8345663	Akkadian_2.8	mark	28
8345663	Akkadian_2.8	nsubj	30
8345663	Akkadian_2.8	ccomp	32
8345663	Akkadian_2.8	nmod	34
8345663	Akkadian_2.8	amod	36
8345663	Akkadian_2.8	nummod	38
8345663	Akkadian_2.8	advcl	40
8345663	Akkadian_2.8	conj	42
8345663	Akkadian_2.8	acl	44
8345663	Akkadian_2.8	det	46
8345663	Akkadian_2.8	csubj	48
8345663	Akkadian_2.8	parataxis	50
8345663	Akkadian_2.8	root	52
8345663	Akkadian_2.8	appos	54
8345663	Akkadian_2.8	cc	56
8345663	Akkadian_2.8	list	58
9266342	Akkadian_2.8	flat	0
9266342	Akkadian_2.8	advcl	2
9266342	Akkadian_2.8	obl	4
9266342	Akkadian_2.8	cop	6
9266342	Akkadian_2.8	xcomp	8
9266342	Akkadian_2.8	advmod	10
9266342	Akkadian_2.8	case	12
9266342	Akkadian_2.8	mark	14
9266342	Akkadian_2.8	amod	16
9266342	Akkadian_2.8	discourse	18
9266342	Akkadian_2.8	fixed	20
9266342	Akkadian_2.8	HEAD	22
9266342	Akkadian_2.8	cc	24
9266342	Akkadian_2.8	iobj	26
9266342	Akkadian_2.8	dep	28
9266342	Akkadian_2.8	compound	30
9266342	Akkadian_2.8	det	32
9266342	Akkadian_2.8	csubj	34
9266342	Akkadian_2.8	nmod	36
9266342	Akkadian_2.8	obj	38
9266342	Akkadian_2.8	list	40
9266342	Akkadian_2.8	nsubj	42
9266342	Akkadian_2.8	vocative	44
9266342	Akkadian_2.8	nummod	46
9266342	Akkadian_2.8	parataxis	48
9266342	Akkadian_2.8	conj	50
9266342	Akkadian_2.8	appos	52
9266342	Akkadian_2.8	acl	54
9266342	Akkadian_2.8	root	56
9266342	Akkadian_2.8	ccomp	58
6658526	Akkadian_2.8	fixed	0
6658526	Akkadian_2.8	flat	2
6658526	Akkadian_2.8	case	4
6658526	Akkadian_2.8	obl	6
6658526	Akkadian_2.8	vocative	8
6658526	Akkadian_2.8	xcomp	10
6658526	Akkadian_2.8	iobj	12
6658526	Akkadian_2.8	cop	14
6658526	Akkadian_2.8	advmod	16
6658526	Akkadian_2.8	discourse	18
6658526	Akkadian_2.8	HEAD	20
6658526	Akkadian_2.8	dep	22
6658526	Akkadian_2.8	obj	24
6658526	Akkadian_2.8	compound	26
6658526	Akkadian_2.8	nmod	28
6658526	Akkadian_2.8	advcl	30
6658526	Akkadian_2.8	amod	32
6658526	Akkadian_2.8	det	34
6658526	Akkadian_2.8	mark	36
6658526	Akkadian_2.8	nummod	38
6658526	Akkadian_2.8	nsubj	40
6658526	Akkadian_2.8	csubj	42
6658526	Akkadian_2.8	ccomp	44
6658526	Akkadian_2.8	parataxis	46
6658526	Akkadian_2.8	conj	48
6658526	Akkadian_2.8	appos	50
6658526	Akkadian_2.8	acl	52
6658526	Akkadian_2.8	list	54
6658526	Akkadian_2.8	cc	56
6658526	Akkadian_2.8	root	58
257741	Akkadian_2.8	cop	0
257741	Akkadian_2.8	parataxis	2
257741	Akkadian_2.8	advcl	4
257741	Akkadian_2.8	root	6
257741	Akkadian_2.8	flat	8
257741	Akkadian_2.8	obl	10
257741	Akkadian_2.8	advmod	12
257741	Akkadian_2.8	discourse	14
257741	Akkadian_2.8	case	16
257741	Akkadian_2.8	mark	18
257741	Akkadian_2.8	fixed	20
257741	Akkadian_2.8	amod	22
257741	Akkadian_2.8	HEAD	24
257741	Akkadian_2.8	cc	26
257741	Akkadian_2.8	vocative	28
257741	Akkadian_2.8	compound	30
257741	Akkadian_2.8	iobj	32
257741	Akkadian_2.8	dep	34
257741	Akkadian_2.8	csubj	36
257741	Akkadian_2.8	nmod	38
257741	Akkadian_2.8	list	40
257741	Akkadian_2.8	det	42
257741	Akkadian_2.8	obj	44
257741	Akkadian_2.8	nummod	46
257741	Akkadian_2.8	ccomp	48
257741	Akkadian_2.8	xcomp	50
257741	Akkadian_2.8	nsubj	52
257741	Akkadian_2.8	conj	54
257741	Akkadian_2.8	appos	56
257741	Akkadian_2.8	acl	58
4089027	Akkadian_2.8	case	0
4089027	Akkadian_2.8	acl	2
4089027	Akkadian_2.8	obl	4
4089027	Akkadian_2.8	appos	6
4089027	Akkadian_2.8	advmod	8
4089027	Akkadian_2.8	conj	10
4089027	Akkadian_2.8	list	12
4089027	Akkadian_2.8	obj	14
4089027	Akkadian_2.8	nummod	16
4089027	Akkadian_2.8	nmod	18
4089027	Akkadian_2.8	det	20
4089027	Akkadian_2.8	vocative	22
4089027	Akkadian_2.8	discourse	24
4089027	Akkadian_2.8	dep	26
4089027	Akkadian_2.8	root	28
4089027	Akkadian_2.8	flat	30
4089027	Akkadian_2.8	HEAD	32
4089027	Akkadian_2.8	amod	34
4089027	Akkadian_2.8	cc	36
4089027	Akkadian_2.8	xcomp	38
4089027	Akkadian_2.8	parataxis	40
4089027	Akkadian_2.8	mark	42
4089027	Akkadian_2.8	ccomp	44
4089027	Akkadian_2.8	nsubj	46
4089027	Akkadian_2.8	fixed	48
4089027	Akkadian_2.8	csubj	50
4089027	Akkadian_2.8	iobj	52
4089027	Akkadian_2.8	cop	54
4089027	Akkadian_2.8	compound	56
4089027	Akkadian_2.8	advcl	58
1131236	Akkadian_2.8	cop	0
1131236	Akkadian_2.8	obl	2
1131236	Akkadian_2.8	flat	4
1131236	Akkadian_2.8	advcl	6
1131236	Akkadian_2.8	nsubj	8
1131236	Akkadian_2.8	case	10
1131236	Akkadian_2.8	iobj	12
1131236	Akkadian_2.8	HEAD	14
1131236	Akkadian_2.8	vocative	16
1131236	Akkadian_2.8	discourse	18
1131236	Akkadian_2.8	root	20
1131236	Akkadian_2.8	nmod	22
1131236	Akkadian_2.8	amod	24
1131236	Akkadian_2.8	nummod	26
1131236	Akkadian_2.8	xcomp	28
1131236	Akkadian_2.8	dep	30
1131236	Akkadian_2.8	obj	32
1131236	Akkadian_2.8	compound	34
1131236	Akkadian_2.8	advmod	36
1131236	Akkadian_2.8	fixed	38
1131236	Akkadian_2.8	mark	40
1131236	Akkadian_2.8	ccomp	42
1131236	Akkadian_2.8	conj	44
1131236	Akkadian_2.8	det	46
1131236	Akkadian_2.8	appos	48
1131236	Akkadian_2.8	csubj	50
1131236	Akkadian_2.8	parataxis	52
1131236	Akkadian_2.8	cc	54
1131236	Akkadian_2.8	acl	56
1131236	Akkadian_2.8	list	58
9398457	Akkadian_2.8	dep	0
9398457	Akkadian_2.8	ccomp	2
9398457	Akkadian_2.8	conj	4
9398457	Akkadian_2.8	parataxis	6
9398457	Akkadian_2.8	nummod	8
9398457	Akkadian_2.8	xcomp	10
9398457	Akkadian_2.8	iobj	12
9398457	Akkadian_2.8	obj	14
9398457	Akkadian_2.8	root	16
9398457	Akkadian_2.8	case	18
9398457	Akkadian_2.8	amod	20
9398457	Akkadian_2.8	cop	22
9398457	Akkadian_2.8	compound	24
9398457	Akkadian_2.8	cc	26
9398457	Akkadian_2.8	mark	28
9398457	Akkadian_2.8	advmod	30
9398457	Akkadian_2.8	discourse	32
9398457	Akkadian_2.8	HEAD	34
9398457	Akkadian_2.8	det	36
9398457	Akkadian_2.8	nmod	38
9398457	Akkadian_2.8	list	40
9398457	Akkadian_2.8	flat	42
9398457	Akkadian_2.8	appos	44
9398457	Akkadian_2.8	nsubj	46
9398457	Akkadian_2.8	acl	48
9398457	Akkadian_2.8	fixed	50
9398457	Akkadian_2.8	vocative	52
9398457	Akkadian_2.8	obl	54
9398457	Akkadian_2.8	csubj	56
9398457	Akkadian_2.8	advcl	58
782514	Akkadian_2.8	flat	0
782514	Akkadian_2.8	obl	2
782514	Akkadian_2.8	iobj	4
782514	Akkadian_2.8	cop	6
782514	Akkadian_2.8	fixed	8
782514	Akkadian_2.8	vocative	10
782514	Akkadian_2.8	advmod	12
782514	Akkadian_2.8	discourse	14
782514	Akkadian_2.8	case	16
782514	Akkadian_2.8	amod	18
782514	Akkadian_2.8	root	20
782514	Akkadian_2.8	HEAD	22
782514	Akkadian_2.8	cc	24
782514	Akkadian_2.8	compound	26
782514	Akkadian_2.8	dep	28
782514	Akkadian_2.8	det	30
782514	Akkadian_2.8	nmod	32
782514	Akkadian_2.8	obj	34
782514	Akkadian_2.8	mark	36
782514	Akkadian_2.8	xcomp	38
782514	Akkadian_2.8	nsubj	40
782514	Akkadian_2.8	advcl	42
782514	Akkadian_2.8	csubj	44
782514	Akkadian_2.8	parataxis	46
782514	Akkadian_2.8	nummod	48
782514	Akkadian_2.8	conj	50
782514	Akkadian_2.8	appos	52
782514	Akkadian_2.8	list	54
782514	Akkadian_2.8	acl	56
782514	Akkadian_2.8	ccomp	58
643391	Akkadian_2.8	cop	0
643391	Akkadian_2.8	obl	2
643391	Akkadian_2.8	flat	4
643391	Akkadian_2.8	nsubj	6
643391	Akkadian_2.8	compound	8
643391	Akkadian_2.8	case	10
643391	Akkadian_2.8	iobj	12
643391	Akkadian_2.8	root	14
643391	Akkadian_2.8	HEAD	16
643391	Akkadian_2.8	discourse	18
643391	Akkadian_2.8	vocative	20
643391	Akkadian_2.8	dep	22
643391	Akkadian_2.8	obj	24
643391	Akkadian_2.8	nmod	26
643391	Akkadian_2.8	amod	28
643391	Akkadian_2.8	advmod	30
643391	Akkadian_2.8	mark	32
643391	Akkadian_2.8	csubj	34
643391	Akkadian_2.8	xcomp	36
643391	Akkadian_2.8	parataxis	38
643391	Akkadian_2.8	ccomp	40
643391	Akkadian_2.8	fixed	42
643391	Akkadian_2.8	det	44
643391	Akkadian_2.8	advcl	46
643391	Akkadian_2.8	nummod	48
643391	Akkadian_2.8	conj	50
643391	Akkadian_2.8	appos	52
643391	Akkadian_2.8	list	54
643391	Akkadian_2.8	cc	56
643391	Akkadian_2.8	acl	58
5974575	Akkadian_2.8	parataxis	0
5974575	Akkadian_2.8	cop	2
5974575	Akkadian_2.8	flat	4
5974575	Akkadian_2.8	obl	6
5974575	Akkadian_2.8	discourse	8
5974575	Akkadian_2.8	vocative	10
5974575	Akkadian_2.8	fixed	12
5974575	Akkadian_2.8	advmod	14
5974575	Akkadian_2.8	case	16
5974575	Akkadian_2.8	HEAD	18
