DH_Weight	CoarseDependency	DistanceWeight	Language	FileName
0.26802	mark	-1.20241	Afrikaans_2.8	2036396
1.59966	case	-1.56229	Afrikaans_2.8	2036396
-0.44976	obl	3.27834	Afrikaans_2.8	2036396
-10.0056	obj	0.47142	Afrikaans_2.8	2036396
-0.16359	cc	-1.55693	Afrikaans_2.8	2036396
-1.05252	ccomp	2.28397	Afrikaans_2.8	2036396
-0.81568	xcomp	0.96874	Afrikaans_2.8	2036396
-0.04412	advmod	-1.85332	Afrikaans_2.8	2036396
-2.19212	dep	0.25469	Afrikaans_2.8	2036396
-0.67184	det	-2.39737	Afrikaans_2.8	2036396
-0.09109	flat	0.04676	Afrikaans_2.8	2036396
-2.27501	nmod	2.2255	Afrikaans_2.8	2036396
-2.06232	amod	1.21186	Afrikaans_2.8	2036396
-1.93521	conj	2.80388	Afrikaans_2.8	2036396
0.33307	compound	-0.67916	Afrikaans_2.8	2036396
-0.782	cop	-0.1477	Afrikaans_2.8	2036396
0.02233	iobj	0.15337	Afrikaans_2.8	2036396
-0.02051	appos	-0.032	Afrikaans_2.8	2036396
-0.0018	csubj	-0.00609	Afrikaans_2.8	2036396
1.01934	nsubj	-0.87914	Afrikaans_2.8	2036396
0.77688	aux	-2.94621	Afrikaans_2.8	2036396
0.04983	nummod	-0.43589	Afrikaans_2.8	2036396
0.0	punct	0.0	Afrikaans_2.8	2036396
1.36182	mark	-5.92004	Afrikaans_2.8	2092906
3.7438	case	-2.68035	Afrikaans_2.8	2092906
5.63451	obl	4.79237	Afrikaans_2.8	2092906
9.94501	obj	0.83298	Afrikaans_2.8	2092906
-4.35161	cc	-3.91634	Afrikaans_2.8	2092906
5.08422	ccomp	6.18588	Afrikaans_2.8	2092906
4.20962	xcomp	3.76531	Afrikaans_2.8	2092906
2.14015	advmod	-4.05018	Afrikaans_2.8	2092906
-5.38233	dep	1.25498	Afrikaans_2.8	2092906
4.1353	det	-4.74143	Afrikaans_2.8	2092906
2.30483	flat	-0.12071	Afrikaans_2.8	2092906
6.45662	nmod	2.79106	Afrikaans_2.8	2092906
-5.17537	amod	3.6926	Afrikaans_2.8	2092906
5.87903	conj	7.54553	Afrikaans_2.8	2092906
-2.0012	compound	-4.32509	Afrikaans_2.8	2092906
0.57286	cop	0.45204	Afrikaans_2.8	2092906
