language	basic	np	Dist_D	Dist_N	Dist_A
Afrikaans_2.6	SVO	DNA_	3	2	1
Afrikaans_2.6	SVO	NA_D	1	2	1
Afrikaans_2.6	SVO	DNA_	3	2	1
Afrikaans_2.6	SVO	A_ND	2	1	1
Afrikaans_2.6	SVO	A_ND	2	1	1
Afrikaans_2.6	SVO	NA_D	1	2	1
Afrikaans_2.6	SVO	A_ND	2	1	1
Akkadian_2.7	SVO	AN_D	1	1	2
Akkadian_2.7	SOV	NDA_	2	3	1
Akkadian_2.7	SOV	AD_N	1	1	2
Akkadian_2.7	SVO	AN_D	1	1	2
Akkadian_2.7	SOV	DA_N	2	1	1
Ancient_Greek_2.6	SOV	A_DN	1	2	1
Ancient_Greek_2.6	SOV	NAD_	1	3	2
Ancient_Greek_2.6	SOV	NAD_	1	3	2
Ancient_Greek_2.6	SOV	NAD_	1	3	2
Ancient_Greek_2.6	SOV	A_DN	1	2	1
Ancient_Greek_2.6	SVO	AN_D	1	1	2
Ancient_Greek_2.6	SVO	AN_D	1	1	2
Ancient_Greek_2.6	SOV	NAD_	1	3	2
Ancient_Greek_2.6	SOV	NAD_	1	3	2
Ancient_Greek_2.6	SVO	AN_D	1	1	2
Ancient_Greek_2.6	SVO	AN_D	1	1	2
Ancient_Greek_2.6	SOV	A_DN	1	2	1
Ancient_Greek_2.6	SVO	AD_N	1	1	2
Ancient_Greek_2.6	SVO	AD_N	1	1	2
Ancient_Greek_2.6	SVO	AN_D	1	1	2
Ancient_Greek_2.6	SVO	AD_N	1	1	2
Arabic_2.6	SOV	ADN_	2	1	3
Arabic_2.6	SOV	DNA_	3	2	1
Arabic_2.6	SOV	DAN_	3	1	2
Arabic_2.6	SOV	DNA_	3	2	1
Arabic_2.6	SOV	NA_D	1	2	1
Arabic_2.6	SOV	DNA_	3	2	1
Arabic_2.6	SOV	A_ND	2	1	1
Arabic_2.6	SOV	DNA_	3	2	1
Arabic_2.6	SVO	A_DN	1	2	1
Arabic_2.6	SOV	DNA_	3	2	1
Arabic_2.6	SOV	NDA_	2	3	1
Arabic_2.6	SOV	DNA_	3	2	1
Arabic_2.6	SOV	ADN_	2	1	3
Arabic_2.6	SOV	DNA_	3	2	1
Armenian_2.6	SOV	DAN_	3	1	2
Armenian_2.6	SOV	DAN_	3	1	2
Armenian_2.6	SVO	DNA_	3	2	1
Armenian_2.6	SOV	AN_D	1	1	2
Armenian_2.6	SOV	DAN_	3	1	2
Armenian_2.6	SOV	DNA_	3	2	1
Armenian_2.6	SVO	NDA_	2	3	1
Armenian_2.6	SOV	DNA_	3	2	1
Armenian_2.6	SVO	NA_D	1	2	1
Armenian_2.6	SVO	DAN_	3	1	2
Armenian_2.6	OSV	A_ND	2	1	1
Armenian_2.6	SOV	A_ND	2	1	1
Armenian_2.6	SOV	A_DN	1	2	1
Bambara_2.6	SVO	DAN_	3	1	2
