Wolof_2.8	REAL	6.67615833577_5.92541027237	2.54430929626
Latin_2.8	REAL	REAL	8.13805400927_7.58530815827	2.92002535312
Hindi_2.8	REAL	REAL	7.1887846971_5.70484699022	3.2260092036
Coptic_2.8	REAL	REAL	5.55989604046_4.44252856715	2.78307762766
Belarusian_2.8	REAL	REAL	8.96501629969_8.04129609374	2.18798260924
Mbya_Guarani_2.8	REAL	REAL	1.67886952047_1.14176728849	2.35685915063
Gothic_2.8	REAL	REAL	7.08260227555_6.38441596083	2.53978171623
Korean_2.8	REAL	REAL	10.1703528661_9.58968583782	2.52093162336
Serbian_2.8	REAL	REAL	8.06528273959_7.37506973897	2.52019222454
Finnish_2.8	REAL	REAL	9.34993648095_8.89170417447	2.24547180546
Norwegian_2.8	REAL	REAL	7.69579638452_6.85295552098	2.5091280426
Indonesian_2.8	REAL	REAL	8.12437959059_7.50091288778	2.36895388076
French_2.8	REAL	REAL	7.30424825811_6.01678844695	2.70928563347
Chinese_2.8	REAL	REAL	8.1048766083_7.49049449078	3.20896637213
Slovenian_2.8	REAL	REAL	8.26033644521_7.82631987164	2.60806841742
Erzya_2.8	REAL	REAL	8.19304814923_7.99443427661	2.09652135623
Czech_2.8	REAL	REAL	9.05221642423_8.06840369247	2.51910771884
Portuguese_2.8	REAL	REAL	7.18828702825_6.34483181078	2.58562384367
Amharic_2.8	REAL	REAL	5.72899089684_4.98641982014	2.00968893422
Scottish_Gaelic_2.8	REAL	REAL	6.42959187247_5.45331815588	2.57983979054
Russian_2.8	REAL	REAL	9.245975441_8.36289784582	2.38232915224
Afrikaans_2.8	REAL	REAL	6.67569446775_5.98203158196	3.23165292923
Kiche_2.8	REAL	REAL	6.27326268572_5.69439789844	1.72838073128
Breton_2.8	REAL	REAL	6.6744745936_6.16548646539	2.2116560589
Slovak_2.8	REAL	REAL	8.38707949151_7.98607497954	2.07047915875
Latvian_2.8	REAL	REAL	8.96262163073_8.55772747323	2.44933488406
Classical_Chinese_2.8	REAL	REAL	6.64604347414_5.56198714706	1.75667953234
Croatian_2.8	REAL	REAL	8.48054534126_7.89221458925	2.58105441727
Faroese_2.8	REAL	REAL	6.70440047675_5.86450216325	2.67036308353
Arabic_2.8	REAL	REAL	3.18569802223_2.42140384713	2.81335692898
Romanian_2.8	REAL	REAL	8.00609274184_6.90690735972	2.62156515877
Turkish_2.8	REAL	REAL	9.23123992342_8.23213465597	2.28725325321
Maltese_2.8	REAL	REAL	7.32924122663_6.64537401744	2.47359404695
Ukrainian_2.8	REAL	REAL	9.00488465796_8.63469164698	2.46740431273
Naija_2.8	REAL	REAL	5.65820563244_4.36462531735	3.72704133964
Welsh_2.8	REAL	REAL	6.8932721418_6.11388936562	2.21584396669
Polish_2.8	REAL	REAL	8.71978086187_8.0658512123	2.1625144587
Hungarian_2.8	REAL	REAL	8.24699378298_7.99082911984	2.92194625999
Persian_2.8	REAL	REAL	7.66512142702_6.79992917537	3.37189485358
Vietnamese_2.8	REAL	REAL	7.14693337176_6.63976588706	2.13929827621
Spanish_2.8	REAL	REAL	7.34145194481_6.34187028817	2.63619275738
Komi_Zyrian_2.8	REAL	REAL	8.00842326657_7.873830655	2.22965076777
Akkadian_2.8	REAL	REAL	6.68098628559_4.46332193319	3.69533851276
Old_East_Slavic_2.8	REAL	REAL	8.31255790664_7.59296817273	2.66488676936
Irish_2.8	REAL	REAL	7.36585182827_6.45355846832	2.72903679067
Ancient_Greek_2.8	REAL	REAL	8.43111781796_7.57772753549	2.97863258517
Thai_2.8	REAL	REAL	6.99135476575_6.47822169461	2.44280285036
Cantonese_2.8	REAL	REAL	5.92291226847_5.26049739629	2.8471281296
Lithuanian_2.8	REAL	REAL	8.72058336465_8.16849518955	2.67112973622
Uyghur_2.8	REAL	REAL	8.51360741593_8.14704594371	2.51681862136
Sanskrit_2.8	REAL	REAL	7.88649342905_7.24537703078	2.35614149482
Italian_2.8	REAL	REAL	7.37224976657_6.19682213658	2.64818026779
Armenian_2.8	REAL	REAL	8.38778667396_8.0095965122	2.75894265188
Manx_2.8	REAL	REAL	5.78963371805_4.85558546825	2.10189342182
North_Sami_2.8	REAL	REAL	7.75880167611_7.43437299032	2.05255362615
Catalan_2.8	REAL	REAL	6.9424317159_5.73556216589	2.77803985923
Bambara_2.8	REAL	REAL	5.33384781381_4.33891601794	2.27836666974
Western_Armenian_2.8	REAL	REAL	8.14694790414_7.88632654407	2.75058815013
Swedish_2.8	REAL	REAL	7.69697931331_7.10798902093	2.56825968295
Latin_2.8	REAL	REAL	8.13805400927_7.58530815827	2.92002535312
English_2.8	REAL	REAL	7.39497270518_6.48115201501	2.62019674755
Bulgarian_2.8	REAL	REAL	8.09323744463_7.37813372719	2.29099737298
Greek_2.8	REAL	REAL	7.52098232728_6.71234454681	2.62529990293
Japanese_2.8	REAL	REAL	1.94946117468_1.34532306804	2.93340511127
Kazakh_2.8	REAL	REAL	8.14772049101_7.86850618524	2.31255093725
