alpha	cutoff	delta	gamma	idForProcess	language	model	script
1.0	2	1.0	1	5397060	Afrikaans_2.8	None	forWords_Finnish_OptimizeOrder_Coarse_FineSurprisal_Stoch_Adap_PlusTwoDLM
1.0	2	1.0	1	7290067	Afrikaans_2.8	None	forWords_Finnish_OptimizeOrder_Coarse_FineSurprisal_Stoch_Adap_PlusTwoDLM
1.0	2	1.0	1	9816925	Afrikaans_2.8	None	forWords_Finnish_OptimizeOrder_Coarse_FineSurprisal_Stoch_Adap_PlusTwoDLM
1.0	2	1.0	1	5251958	Afrikaans_2.8	None	forWords_Finnish_OptimizeOrder_Coarse_FineSurprisal_Stoch_Adap_PlusTwoDLM
1.0	2	1.0	1	3722990	Afrikaans_2.8	None	forWords_Finnish_OptimizeOrder_Coarse_FineSurprisal_Stoch_Adap_PlusTwoDLM
1.0	2	1.0	1	8968627	Afrikaans_2.8	None	forWords_Finnish_OptimizeOrder_Coarse_FineSurprisal_Stoch_Adap_PlusTwoDLM
1.0	2	1.0	1	2918653	Afrikaans_2.8	None	forWords_Finnish_OptimizeOrder_Coarse_FineSurprisal_Stoch_Adap_PlusTwoDLM
1.0	2	1.0	1	5429522	Akkadian_2.8	None	forWords_Finnish_OptimizeOrder_Coarse_FineSurprisal_Stoch_Adap_PlusTwoDLM
1.0	2	1.0	1	1491958	Akkadian_2.8	None	forWords_Finnish_OptimizeOrder_Coarse_FineSurprisal_Stoch_Adap_PlusTwoDLM
1.0	2	1.0	1	2899887	Akkadian_2.8	None	forWords_Finnish_OptimizeOrder_Coarse_FineSurprisal_Stoch_Adap_PlusTwoDLM
1.0	2	1.0	1	9559077	Akkadian_2.8	None	forWords_Finnish_OptimizeOrder_Coarse_FineSurprisal_Stoch_Adap_PlusTwoDLM
1.0	2	1.0	1	9601403	Akkadian_2.8	None	forWords_Finnish_OptimizeOrder_Coarse_FineSurprisal_Stoch_Adap_PlusTwoDLM
1.0	2	1.0	1	4458550	Akkadian_2.8	None	forWords_Finnish_OptimizeOrder_Coarse_FineSurprisal_Stoch_Adap_PlusTwoDLM
1.0	2	1.0	1	5926801	Amharic_2.8	None	forWords_Finnish_OptimizeOrder_Coarse_FineSurprisal_Stoch_Adap_PlusTwoDLM
1.0	2	1.0	1	5511978	Amharic_2.8	None	forWords_Finnish_OptimizeOrder_Coarse_FineSurprisal_Stoch_Adap_PlusTwoDLM
1.0	2	1.0	1	346311	Amharic_2.8	None	forWords_Finnish_OptimizeOrder_Coarse_FineSurprisal_Stoch_Adap_PlusTwoDLM
1.0	2	1.0	1	757685	Amharic_2.8	None	forWords_Finnish_OptimizeOrder_Coarse_FineSurprisal_Stoch_Adap_PlusTwoDLM
1.0	2	1.0	1	9114400	Amharic_2.8	None	forWords_Finnish_OptimizeOrder_Coarse_FineSurprisal_Stoch_Adap_PlusTwoDLM
1.0	2	1.0	1	8564390	Amharic_2.8	None	forWords_Finnish_OptimizeOrder_Coarse_FineSurprisal_Stoch_Adap_PlusTwoDLM
1.0	2	1.0	1	5551853	Amharic_2.8	None	forWords_Finnish_OptimizeOrder_Coarse_FineSurprisal_Stoch_Adap_PlusTwoDLM
1.0	2	1.0	1	3583988	Amharic_2.8	None	forWords_Finnish_OptimizeOrder_Coarse_FineSurprisal_Stoch_Adap_PlusTwoDLM
1.0	2	1.0	1	8843221	Amharic_2.8	None	forWords_Finnish_OptimizeOrder_Coarse_FineSurprisal_Stoch_Adap_PlusTwoDLM
1.0	2	1.0	1	9981892	Ancient_Greek_2.8	None	forWords_Finnish_OptimizeOrder_Coarse_FineSurprisal_Stoch_Adap_PlusTwoDLM
1.0	2	1.0	1	3360906	Ancient_Greek_2.8	None	forWords_Finnish_OptimizeOrder_Coarse_FineSurprisal_Stoch_Adap_PlusTwoDLM
1.0	2	1.0	1	4429528	Ancient_Greek_2.8	None	forWords_Finnish_OptimizeOrder_Coarse_FineSurprisal_Stoch_Adap_PlusTwoDLM
1.0	2	1.0	1	5915868	Ancient_Greek_2.8	None	forWords_Finnish_OptimizeOrder_Coarse_FineSurprisal_Stoch_Adap_PlusTwoDLM
1.0	2	1.0	1	674633	Ancient_Greek_2.8	None	forWords_Finnish_OptimizeOrder_Coarse_FineSurprisal_Stoch_Adap_PlusTwoDLM
1.0	2	1.0	1	9817377	Arabic_2.8	None	forWords_Finnish_OptimizeOrder_Coarse_FineSurprisal_Stoch_Adap_PlusTwoDLM
1.0	2	1.0	1	6497748	Arabic_2.8	None	forWords_Finnish_OptimizeOrder_Coarse_FineSurprisal_Stoch_Adap_PlusTwoDLM
1.0	2	1.0	1	1304200	Arabic_2.8	None	forWords_Finnish_OptimizeOrder_Coarse_FineSurprisal_Stoch_Adap_PlusTwoDLM
1.0	2	1.0	1	6092619	Armenian_2.8	None	forWords_Finnish_OptimizeOrder_Coarse_FineSurprisal_Stoch_Adap_PlusTwoDLM
1.0	2	1.0	1	6500008	Armenian_2.8	None	forWords_Finnish_OptimizeOrder_Coarse_FineSurprisal_Stoch_Adap_PlusTwoDLM
1.0	2	1.0	1	611248	Armenian_2.8	None	forWords_Finnish_OptimizeOrder_Coarse_FineSurprisal_Stoch_Adap_PlusTwoDLM
1.0	2	1.0	1	3779062	Armenian_2.8	None	forWords_Finnish_OptimizeOrder_Coarse_FineSurprisal_Stoch_Adap_PlusTwoDLM
1.0	2	1.0	1	8661794	Armenian_2.8	None	forWords_Finnish_OptimizeOrder_Coarse_FineSurprisal_Stoch_Adap_PlusTwoDLM
1.0	2	1.0	1	2941746	Armenian_2.8	None	forWords_Finnish_OptimizeOrder_Coarse_FineSurprisal_Stoch_Adap_PlusTwoDLM
1.0	2	1.0	1	4897088	Armenian_2.8	None	forWords_Finnish_OptimizeOrder_Coarse_FineSurprisal_Stoch_Adap_PlusTwoDLM
1.0	2	1.0	1	8497644	Armenian_2.8	None	forWords_Finnish_OptimizeOrder_Coarse_FineSurprisal_Stoch_Adap_PlusTwoDLM
