language	ID	basic	np	Dist_D	Dist_N	Dist_A
Afrikaans_2.8	1789056	SVO	DNA_	3	2	1
Afrikaans_2.8	2722100	SVO	NA_D	1	2	1
Afrikaans_2.8	7691131	SVO	NA_D	1	2	1
Afrikaans_2.8	8608227	SVO	DNA_	3	2	1
Afrikaans_2.8	8682145	SVO	A_ND	2	1	1
Afrikaans_2.8	9785640	SVO	A_ND	2	1	1
Afrikaans_2.8	3586106	SOV	A_DN	1	2	1
Afrikaans_2.8	6104696	SVO	A_ND	2	1	1
Afrikaans_2.8	772212	SVO	NA_D	1	2	1
Afrikaans_2.8	4279942	SVO	A_ND	2	1	1
Afrikaans_2.8	1581587	SVO	A_ND	2	1	1
Afrikaans_2.8	1713189	SOV	NAD_	1	3	2
Afrikaans_2.8	3305060	SVO	A_ND	2	1	1
Afrikaans_2.8	330736	SVO	A_ND	2	1	1
Afrikaans_2.8	350892	SVO	A_ND	2	1	1
Afrikaans_2.8	4183401	SVO	A_ND	2	1	1
Afrikaans_2.8	445551	SOV	DA_N	2	1	1
Afrikaans_2.8	5389469	SVO	AN_D	1	1	2
Afrikaans_2.8	675874	SVO	AN_D	1	1	2
Afrikaans_2.8	8817953	OSV	A_ND	2	1	1
Afrikaans_2.8	9083337	SVO	DAN_	3	1	2
Afrikaans_2.8	9092691	SOV	AN_D	1	1	2
Afrikaans_2.8	9541751	SOV	DA_N	2	1	1
Afrikaans_2.8	9843225	OSV	A_ND	2	1	1
Akkadian_2.8	4216657	SVO	AN_D	1	1	2
Akkadian_2.8	5336199	SOV	NDA_	2	3	1
Akkadian_2.8	7356971	SOV	AD_N	1	1	2
Akkadian_2.8	8304382	SVO	AN_D	1	1	2
Akkadian_2.8	9910638	SOV	DA_N	2	1	1
Akkadian_2.8	1224853	SVO	DNA_	3	2	1
Akkadian_2.8	1501031	OSV	A_ND	2	1	1
Akkadian_2.8	1841071	SVO	DNA_	3	2	1
Akkadian_2.8	2425600	OSV	DNA_	3	2	1
Akkadian_2.8	2765063	OSV	DNA_	3	2	1
Akkadian_2.8	356810	SVO	DNA_	3	2	1
Akkadian_2.8	4079063	SOV	DNA_	3	2	1
Akkadian_2.8	4688149	SVO	DNA_	3	2	1
Akkadian_2.8	5249423	SOV	DA_N	2	1	1
Akkadian_2.8	5506569	SVO	AND_	1	2	3
Akkadian_2.8	6440320	SOV	DNA_	3	2	1
Akkadian_2.8	6619426	SOV	DNA_	3	2	1
Akkadian_2.8	6803690	OSV	DNA_	3	2	1
Akkadian_2.8	8828041	OSV	DNA_	3	2	1
Akkadian_2.8	9523638	OSV	NDA_	2	3	1
Amharic_2.8	2126540	SOV	AD_N	1	1	2
Amharic_2.8	2892807	SOV	AD_N	1	1	2
Amharic_2.8	293396	SOV	AND_	1	2	3
Amharic_2.8	3294355	SOV	DA_N	2	1	1
Amharic_2.8	3295362	SVO	AN_D	1	1	2
Amharic_2.8	355135	SOV	AD_N	1	1	2
Amharic_2.8	3784582	SOV	NA_D	1	2	1
Amharic_2.8	4106730	SOV	NA_D	1	2	1
Amharic_2.8	4493277	SOV	NA_D	1	2	1
Amharic_2.8	6974911	SVO	AN_D	1	1	2
Amharic_2.8	7178369	SOV	DAN_	3	1	2
Amharic_2.8	7518803	SOV	NA_D	1	2	1
Amharic_2.8	7570837	SOV	AN_D	1	1	2
Amharic_2.8	8567282	SOV	NA_D	1	2	1
Amharic_2.8	8915474	SOV	NA_D	1	2	1
Amharic_2.8	9187104	SOV	DA_N	2	1	1
Amharic_2.8	9350922	SOV	NA_D	1	2	1
Ancient_Greek_2.8	2436928	SOV	A_DN	1	2	1
Ancient_Greek_2.8	5681787	SOV	NAD_	1	3	2
Ancient_Greek_2.8	577944	SOV	NAD_	1	3	2
Ancient_Greek_2.8	5830251	SOV	NAD_	1	3	2
Ancient_Greek_2.8	6248978	SOV	A_DN	1	2	1
Ancient_Greek_2.8	6494358	SVO	AN_D	1	1	2
Ancient_Greek_2.8	6525473	SVO	AN_D	1	1	2
Ancient_Greek_2.8	6881623	SOV	NAD_	1	3	2
Ancient_Greek_2.8	7909102	SOV	NAD_	1	3	2
Ancient_Greek_2.8	8896120	SVO	AN_D	1	1	2
Ancient_Greek_2.8	9132175	SVO	AN_D	1	1	2
Ancient_Greek_2.8	9281782	SOV	A_DN	1	2	1
Ancient_Greek_2.8	8399702	SVO	AD_N	1	1	2
Ancient_Greek_2.8	6644836	SOV	NAD_	1	3	2
Ancient_Greek_2.8	5407235	SVO	AD_N	1	1	2
Ancient_Greek_2.8	6356476	SVO	AN_D	1	1	2
Ancient_Greek_2.8	8828427	SVO	AD_N	1	1	2
Ancient_Greek_2.8	1529492	SVO	AD_N	1	1	2
Ancient_Greek_2.8	1889669	SOV	A_ND	2	1	1
Ancient_Greek_2.8	4453061	SVO	AN_D	1	1	2
Ancient_Greek_2.8	7575457	SVO	AD_N	1	1	2
Ancient_Greek_2.8	7689025	SOV	AD_N	1	1	2
Ancient_Greek_2.8	7956638	SVO	AD_N	1	1	2
Ancient_Greek_2.8	8257737	SVO	AN_D	1	1	2
Ancient_Greek_2.8	9559964	SVO	AD_N	1	1	2
Arabic_2.8	1020415	SOV	NA_D	1	2	1
Arabic_2.8	1213342	SOV	ADN_	2	1	3
Arabic_2.8	371580	SOV	DNA_	3	2	1
Arabic_2.8	4400468	SOV	DAN_	3	1	2
Arabic_2.8	4590384	SOV	DNA_	3	2	1
Arabic_2.8	8479422	SOV	NA_D	1	2	1
Arabic_2.8	9105625	SOV	DNA_	3	2	1
Arabic_2.8	9290466	SOV	A_ND	2	1	1
Arabic_2.8	9915380	SOV	DNA_	3	2	1
Arabic_2.8	1135478	SVO	A_DN	1	2	1
Arabic_2.8	2427205	SOV	DNA_	3	2	1
Arabic_2.8	6388407	SOV	NDA_	2	3	1
Arabic_2.8	9614956	SOV	DNA_	3	2	1
Arabic_2.8	5379194	SOV	ADN_	2	1	3
Arabic_2.8	3524388	SOV	DNA_	3	2	1
Arabic_2.8	252333	SOV	A_ND	2	1	1
Arabic_2.8	4069492	SOV	NDA_	2	3	1
Arabic_2.8	4324608	SOV	NDA_	2	3	1
Arabic_2.8	4840988	SOV	NDA_	2	3	1
Arabic_2.8	4927136	SOV	NDA_	2	3	1
Arabic_2.8	4962012	SOV	NDA_	2	3	1
Arabic_2.8	5425761	SOV	DAN_	3	1	2
Arabic_2.8	571691	SOV	DAN_	3	1	2
Arabic_2.8	6192891	SOV	DNA_	3	2	1
Arabic_2.8	6613909	SOV	NDA_	2	3	1
Arabic_2.8	6896147	SOV	DNA_	3	2	1
Arabic_2.8	703952	SOV	NDA_	2	3	1
Arabic_2.8	951143	SOV	NDA_	2	3	1
Armenian_2.8	1861153	SOV	DAN_	3	1	2
Armenian_2.8	2488533	SOV	DAN_	3	1	2
Armenian_2.8	2508151	SVO	DNA_	3	2	1
Armenian_2.8	456879	SOV	AN_D	1	1	2
Armenian_2.8	5323728	SOV	DAN_	3	1	2
Armenian_2.8	5527318	SOV	DNA_	3	2	1
Armenian_2.8	623319	SOV	ADN_	2	1	3
Armenian_2.8	8333325	SVO	NDA_	2	3	1
Armenian_2.8	8413026	SOV	DNA_	3	2	1
Armenian_2.8	8657446	SVO	NA_D	1	2	1
Armenian_2.8	8773855	OSV	DAN_	3	1	2
Armenian_2.8	9962375	SVO	DAN_	3	1	2
Armenian_2.8	9993170	SVO	DAN_	3	1	2
Armenian_2.8	8653587	OSV	A_ND	2	1	1
Armenian_2.8	257349	SOV	A_ND	2	1	1
Armenian_2.8	3613805	SOV	A_ND	2	1	1
Armenian_2.8	7266666	SOV	A_DN	1	2	1
Armenian_2.8	8183017	SVO	ADN_	2	1	3
Armenian_2.8	1746235	SOV	A_ND	2	1	1
Armenian_2.8	1786057	SVO	DA_N	2	1	1
Armenian_2.8	2548616	OSV	DNA_	3	2	1
Armenian_2.8	2580061	SOV	A_ND	2	1	1
Armenian_2.8	2756118	OSV	NA_D	1	2	1
Armenian_2.8	2782437	SOV	NA_D	1	2	1
Armenian_2.8	3124861	OSV	A_ND	2	1	1
Armenian_2.8	4676434	SOV	NDA_	2	3	1
Armenian_2.8	5201008	SOV	A_DN	1	2	1
Armenian_2.8	6229436	OSV	A_ND	2	1	1
Armenian_2.8	6503439	SOV	A_ND	2	1	1
Armenian_2.8	6852609	SVO	DA_N	2	1	1
Armenian_2.8	7350422	SVO	DNA_	3	2	1
Armenian_2.8	8928624	SVO	DA_N	2	1	1
Bambara_2.8	6070641	SVO	DAN_	3	1	2
Bambara_2.8	1693315	SOV	NDA_	2	3	1
Bambara_2.8	1937568	SOV	A_ND	2	1	1
Bambara_2.8	2310636	SOV	DAN_	3	1	2
Bambara_2.8	3479426	SOV	A_ND	2	1	1
Bambara_2.8	3519541	SOV	A_ND	2	1	1
Bambara_2.8	3900642	SVO	DNA_	3	2	1
Bambara_2.8	496724	SOV	A_DN	1	2	1
Bambara_2.8	6772117	SOV	NDA_	2	3	1
Bambara_2.8	7410564	SOV	A_ND	2	1	1
Bambara_2.8	7653752	SOV	A_ND	2	1	1
Bambara_2.8	910463	SOV	A_ND	2	1	1
Bambara_2.8	9285076	SOV	NA_D	1	2	1
Bambara_2.8	9332534	SVO	A_DN	1	2	1
Bambara_2.8	9709396	SOV	A_DN	1	2	1
Basque_2.8	3495472	SOV	NDA_	2	3	1
Basque_2.8	4801999	SOV	NDA_	2	3	1
Basque_2.8	7274567	SOV	NDA_	2	3	1
Basque_2.8	9370508	SOV	NDA_	2	3	1
Basque_2.8	4364940	SOV	DNA_	3	2	1
Basque_2.8	5334697	SOV	DNA_	3	2	1
Basque_2.8	6515194	SOV	DNA_	3	2	1
Basque_2.8	8714241	SOV	DNA_	3	2	1
Basque_2.8	2986672	SOV	NDA_	2	3	1
Basque_2.8	2124128	SOV	DNA_	3	2	1
Basque_2.8	8987114	SOV	DNA_	3	2	1
Basque_2.8	1387248	SOV	DNA_	3	2	1
Basque_2.8	169537	SOV	A_ND	2	1	1
Basque_2.8	2083187	SOV	DNA_	3	2	1
Basque_2.8	4483820	SVO	A_ND	2	1	1
Basque_2.8	4511002	SOV	DNA_	3	2	1
Basque_2.8	6259078	SOV	DNA_	3	2	1
Basque_2.8	7052915	SOV	NDA_	2	3	1
Basque_2.8	7725252	SOV	A_ND	2	1	1
Basque_2.8	8115018	SOV	DAN_	3	1	2
Basque_2.8	8607550	SOV	DNA_	3	2	1
Basque_2.8	9866001	SOV	NDA_	2	3	1
Belarusian_2.8	1225880	SVO	A_ND	2	1	1
Belarusian_2.8	498729	SVO	DA_N	2	1	1
Belarusian_2.8	8169896	SOV	NA_D	1	2	1
Belarusian_2.8	1813230	SVO	A_ND	2	1	1
Belarusian_2.8	2522814	SVO	A_DN	1	2	1
Belarusian_2.8	2602566	SVO	DA_N	2	1	1
Belarusian_2.8	3248184	SVO	DA_N	2	1	1
Belarusian_2.8	4355900	SVO	DA_N	2	1	1
Belarusian_2.8	4450849	SOV	A_ND	2	1	1
Belarusian_2.8	4715236	SVO	DA_N	2	1	1
Belarusian_2.8	4861379	SVO	DA_N	2	1	1
Belarusian_2.8	5063186	SVO	DA_N	2	1	1
Belarusian_2.8	5894202	SOV	A_ND	2	1	1
Belarusian_2.8	7917795	SVO	NA_D	1	2	1
Belarusian_2.8	8843707	SVO	NDA_	2	3	1
Belarusian_2.8	9857819	SVO	DA_N	2	1	1
Breton_2.8	1817533	OSV	A_ND	2	1	1
Breton_2.8	2364945	SOV	ADN_	2	1	3
Breton_2.8	2682439	SOV	ADN_	2	1	3
Breton_2.8	3784906	OSV	ADN_	2	1	3
Breton_2.8	404367	SOV	DAN_	3	1	2
Breton_2.8	5132158	OSV	ADN_	2	1	3
Breton_2.8	8019042	SVO	A_ND	2	1	1
Breton_2.8	1166204	SVO	DA_N	2	1	1
Breton_2.8	1609231	SOV	ADN_	2	1	3
Breton_2.8	2313359	OSV	A_ND	2	1	1
Breton_2.8	2846534	OSV	AN_D	1	1	2
Breton_2.8	4358370	SOV	A_ND	2	1	1
Breton_2.8	5694890	OSV	AN_D	1	1	2
Breton_2.8	6099633	SOV	ADN_	2	1	3
Breton_2.8	6653339	SOV	DAN_	3	1	2
Breton_2.8	6847734	OSV	A_ND	2	1	1
Breton_2.8	725082	SOV	ADN_	2	1	3
Breton_2.8	7340055	OSV	A_ND	2	1	1
Breton_2.8	8441442	SOV	ADN_	2	1	3
Breton_2.8	8994011	SOV	ADN_	2	1	3
Breton_2.8	9422053	SOV	DAN_	3	1	2
Breton_2.8	9875896	OSV	A_ND	2	1	1
Bulgarian_2.8	1352953	SOV	NDA_	2	3	1
Bulgarian_2.8	3342662	OSV	NDA_	2	3	1
Bulgarian_2.8	4036181	SOV	NDA_	2	3	1
Bulgarian_2.8	6931870	SOV	NAD_	1	3	2
Bulgarian_2.8	7078983	OSV	NDA_	2	3	1
Bulgarian_2.8	8222155	SOV	NDA_	2	3	1
