language	ID	basic	np	Dist_D	Dist_N	Dist_A	Surprisal2	DepLen
Afrikaans_2.8	2259904	SVO	DAN_	3	1	2	5.851	2.534
Afrikaans_2.8	5430252	SVO	DAN_	3	1	2	5.854	2.563
Afrikaans_2.8	5631158	SVO	DAN_	3	1	2	5.848	2.765
Afrikaans_2.8	862511	SVO	DAN_	3	1	2	5.861	2.677
Afrikaans_2.8	8707708	SVO	DAN_	3	1	2	5.868	2.677
Afrikaans_2.8	9719353	SVO	A_ND	2	1	1	5.964	2.728
Akkadian_2.8	1676219	SOV	NDA_	2	3	1	4.47	3.17
Akkadian_2.8	2480934	SOV	NA_D	1	2	1	4.546	3.686
Akkadian_2.8	648360	SOV	DA_N	2	1	1	4.544	3.698
Akkadian_2.8	7561798	SVO	NDA_	2	3	1	4.464	3.244
Akkadian_2.8	7760415	SOV	NDA_	2	3	1	4.463	3.203
Akkadian_2.8	9210943	SOV	A_DN	1	2	1	4.471	3.171
Amharic_2.8	5505819	SVO	A_DN	1	2	1	4.988	2.055
Amharic_2.8	5506039	SVO	A_DN	1	2	1	4.973	2.158
Amharic_2.8	5979992	SVO	AN_D	1	1	2	5.115	2.429
Amharic_2.8	7234491	SVO	AN_D	1	1	2	4.968	2.079
Amharic_2.8	7396033	SVO	AN_D	1	1	2	4.998	1.972
Amharic_2.8	7866944	SVO	A_DN	1	2	1	4.959	2.148
Amharic_2.8	9123926	SVO	AN_D	1	1	2	4.964	2.087
Amharic_2.8	9428790	SVO	A_DN	1	2	1	4.961	2.154
Ancient_Greek_2.8	1735363	SOV	ADN_	2	1	3	7.592	2.481
Ancient_Greek_2.8	1755690	SOV	ADN_	2	1	3	7.517	2.476
Ancient_Greek_2.8	5379209	SOV	ADN_	2	1	3	7.515	2.464
Ancient_Greek_2.8	5753870	SOV	AD_N	1	1	2	7.507	2.466
Ancient_Greek_2.8	7647656	SOV	AD_N	1	1	2	7.501	2.407
Arabic_2.8	3045438	SVO	NAD_	1	3	2	2.465	2.927
Arabic_2.8	4544995	SVO	NDA_	2	3	1	2.489	3.186
Arabic_2.8	9763655	SVO	NDA_	2	3	1	2.472	3.084
