idForProcess	language	dependency	weight
8143052	Afrikaans_2.8	conj	0
8143052	Afrikaans_2.8	ccomp	2
8143052	Afrikaans_2.8	xcomp	4
8143052	Afrikaans_2.8	dep	6
8143052	Afrikaans_2.8	obl	8
8143052	Afrikaans_2.8	root	10
8143052	Afrikaans_2.8	iobj	12
8143052	Afrikaans_2.8	obj	14
8143052	Afrikaans_2.8	nmod	16
8143052	Afrikaans_2.8	flat	18
8143052	Afrikaans_2.8	amod	20
8143052	Afrikaans_2.8	csubj	22
8143052	Afrikaans_2.8	case	24
8143052	Afrikaans_2.8	aux	26
8143052	Afrikaans_2.8	cop	28
8143052	Afrikaans_2.8	HEAD	30
8143052	Afrikaans_2.8	det	32
8143052	Afrikaans_2.8	compound	34
8143052	Afrikaans_2.8	cc	36
8143052	Afrikaans_2.8	mark	38
8143052	Afrikaans_2.8	fixed	40
8143052	Afrikaans_2.8	advmod	42
8143052	Afrikaans_2.8	nummod	44
8143052	Afrikaans_2.8	nsubj	46
8143052	Afrikaans_2.8	punct	48
8143052	Afrikaans_2.8	appos	50
7464813	Afrikaans_2.8	root	0
7464813	Afrikaans_2.8	conj	2
7464813	Afrikaans_2.8	csubj	4
7464813	Afrikaans_2.8	ccomp	6
7464813	Afrikaans_2.8	iobj	8
7464813	Afrikaans_2.8	obj	10
7464813	Afrikaans_2.8	nsubj	12
7464813	Afrikaans_2.8	aux	14
7464813	Afrikaans_2.8	nmod	16
7464813	Afrikaans_2.8	appos	18
7464813	Afrikaans_2.8	flat	20
7464813	Afrikaans_2.8	compound	22
7464813	Afrikaans_2.8	nummod	24
7464813	Afrikaans_2.8	punct	26
7464813	Afrikaans_2.8	det	28
7464813	Afrikaans_2.8	HEAD	30
7464813	Afrikaans_2.8	cop	32
7464813	Afrikaans_2.8	cc	34
7464813	Afrikaans_2.8	mark	36
7464813	Afrikaans_2.8	case	38
7464813	Afrikaans_2.8	amod	40
7464813	Afrikaans_2.8	advmod	42
7464813	Afrikaans_2.8	obl	44
7464813	Afrikaans_2.8	dep	46
7464813	Afrikaans_2.8	xcomp	48
7464813	Afrikaans_2.8	fixed	50
6596734	Afrikaans_2.8	fixed	0
6596734	Afrikaans_2.8	nsubj	2
6596734	Afrikaans_2.8	csubj	4
6596734	Afrikaans_2.8	nummod	6
6596734	Afrikaans_2.8	appos	8
6596734	Afrikaans_2.8	aux	10
6596734	Afrikaans_2.8	cc	12
6596734	Afrikaans_2.8	det	14
6596734	Afrikaans_2.8	compound	16
6596734	Afrikaans_2.8	cop	18
6596734	Afrikaans_2.8	mark	20
6596734	Afrikaans_2.8	HEAD	22
6596734	Afrikaans_2.8	case	24
6596734	Afrikaans_2.8	advmod	26
6596734	Afrikaans_2.8	punct	28
6596734	Afrikaans_2.8	amod	30
6596734	Afrikaans_2.8	flat	32
6596734	Afrikaans_2.8	nmod	34
6596734	Afrikaans_2.8	root	36
6596734	Afrikaans_2.8	obj	38
6596734	Afrikaans_2.8	iobj	40
6596734	Afrikaans_2.8	obl	42
6596734	Afrikaans_2.8	dep	44
6596734	Afrikaans_2.8	xcomp	46
6596734	Afrikaans_2.8	ccomp	48
6596734	Afrikaans_2.8	conj	50
2502001	Afrikaans_2.8	conj	0
2502001	Afrikaans_2.8	ccomp	2
2502001	Afrikaans_2.8	root	4
2502001	Afrikaans_2.8	xcomp	6
2502001	Afrikaans_2.8	dep	8
2502001	Afrikaans_2.8	obl	10
2502001	Afrikaans_2.8	iobj	12
2502001	Afrikaans_2.8	obj	14
2502001	Afrikaans_2.8	nmod	16
2502001	Afrikaans_2.8	flat	18
2502001	Afrikaans_2.8	amod	20
2502001	Afrikaans_2.8	appos	22
2502001	Afrikaans_2.8	advmod	24
2502001	Afrikaans_2.8	case	26
2502001	Afrikaans_2.8	HEAD	28
2502001	Afrikaans_2.8	det	30
2502001	Afrikaans_2.8	cc	32
2502001	Afrikaans_2.8	compound	34
2502001	Afrikaans_2.8	mark	36
2502001	Afrikaans_2.8	aux	38
2502001	Afrikaans_2.8	cop	40
2502001	Afrikaans_2.8	fixed	42
2502001	Afrikaans_2.8	nummod	44
2502001	Afrikaans_2.8	csubj	46
2502001	Afrikaans_2.8	nsubj	48
2502001	Afrikaans_2.8	punct	50
1923241	Afrikaans_2.8	nsubj	0
1923241	Afrikaans_2.8	nummod	2
1923241	Afrikaans_2.8	appos	4
1923241	Afrikaans_2.8	advmod	6
1923241	Afrikaans_2.8	cc	8
1923241	Afrikaans_2.8	det	10
1923241	Afrikaans_2.8	mark	12
1923241	Afrikaans_2.8	root	14
1923241	Afrikaans_2.8	fixed	16
1923241	Afrikaans_2.8	compound	18
1923241	Afrikaans_2.8	HEAD	20
1923241	Afrikaans_2.8	cop	22
1923241	Afrikaans_2.8	aux	24
1923241	Afrikaans_2.8	case	26
1923241	Afrikaans_2.8	punct	28
1923241	Afrikaans_2.8	amod	30
1923241	Afrikaans_2.8	flat	32
1923241	Afrikaans_2.8	nmod	34
1923241	Afrikaans_2.8	csubj	36
1923241	Afrikaans_2.8	obj	38
1923241	Afrikaans_2.8	iobj	40
1923241	Afrikaans_2.8	obl	42
1923241	Afrikaans_2.8	dep	44
1923241	Afrikaans_2.8	xcomp	46
1923241	Afrikaans_2.8	ccomp	48
1923241	Afrikaans_2.8	conj	50
2514843	Afrikaans_2.8	appos	0
2514843	Afrikaans_2.8	nsubj	2
2514843	Afrikaans_2.8	case	4
2514843	Afrikaans_2.8	csubj	6
2514843	Afrikaans_2.8	aux	8
2514843	Afrikaans_2.8	cop	10
2514843	Afrikaans_2.8	fixed	12
2514843	Afrikaans_2.8	cc	14
2514843	Afrikaans_2.8	compound	16
2514843	Afrikaans_2.8	HEAD	18
2514843	Afrikaans_2.8	det	20
2514843	Afrikaans_2.8	mark	22
2514843	Afrikaans_2.8	advmod	24
2514843	Afrikaans_2.8	nummod	26
2514843	Afrikaans_2.8	amod	28
2514843	Afrikaans_2.8	flat	30
2514843	Afrikaans_2.8	nmod	32
2514843	Afrikaans_2.8	root	34
2514843	Afrikaans_2.8	obj	36
2514843	Afrikaans_2.8	punct	38
2514843	Afrikaans_2.8	iobj	40
2514843	Afrikaans_2.8	obl	42
2514843	Afrikaans_2.8	dep	44
2514843	Afrikaans_2.8	xcomp	46
2514843	Afrikaans_2.8	ccomp	48
2514843	Afrikaans_2.8	conj	50
5416215	Afrikaans_2.8	conj	0
5416215	Afrikaans_2.8	ccomp	2
5416215	Afrikaans_2.8	xcomp	4
5416215	Afrikaans_2.8	dep	6
5416215	Afrikaans_2.8	obl	8
5416215	Afrikaans_2.8	iobj	10
5416215	Afrikaans_2.8	obj	12
5416215	Afrikaans_2.8	nmod	14
5416215	Afrikaans_2.8	flat	16
